Username,Owner,Brandaccount,Followers(millions),Profession/Activity,Country
@instagram,Instagram,,672,Social media platform,United States
@cristiano,Cristiano Ronaldo,,631,Footballer,Portugal
@leomessi,Lionel Messi,,503,Footballer,Argentina
@selenagomez,Selena Gomez,,427,Musician and actress,United States
@kyliejenner,Kylie Jenner,,399,Media personality,United States
@therock,Dwayne Johnson,,396,Actor and professional wrestler,United States
@arianagrande,Ariana Grande,,378,Musician and actress,United States
@kimkardashian,Kim Kardashian,,362,Media personality,United States
@beyonce,Beyoncé,,318,Musician and actress,United States
@khloekardashian,Khloé Kardashian,,308,Media personality,United States
@nike,Nike,,306,Sportswear multinational,United States
@kendalljenner,Kendall Jenner,,293,Media personality,United States
@justinbieber,Justin Bieber,,293,Musician,Canada
@taylorswift,Taylor Swift,,283,Musician,United States
@natgeo,National Geographic,,283,Magazine,United States
@virat.kohli,Virat Kohli,,269,Cricketer,India
@jlo,Jennifer Lopez,,252,Musician and actress,United States
@nickiminaj,Nicki Minaj,,229,Musician,United States Trinidad and Tobago
@kourtneykardash,Kourtney Kardashian,,223,Media personality,United States
@neymarjr,Neymar,,221,Footballer,Brazil
@mileycyrus,Miley Cyrus,,216,Musician and actress,United States
@katyperry,Katy Perry,,206,Musician,United States
@zendaya,Zendaya,,184,Actress and singer,United States
@kevinhart4real,Kevin Hart,,179,Comedian and actor,United States
@iamcardib,Cardi B,,167,Musician and actress,United States
@realmadrid,Real Madrid CF,,162,Football club,Spain
@kingjames,LeBron James,,159,Basketball player,United States
@ddlovato,Demi Lovato,,156,Musician and actress,United States
@badgalriri,Rihanna,,151,Musician,Barbados
@champagnepapi,Drake,,146,Musician,Canada United States
@chrisbrownofficial,Chris Brown,,144,Musician,United States
@ellendegeneres,Ellen DeGeneres,,138,Comedian and television host,United States
@fcbarcelona,FC Barcelona,,127,Football club,Spain
@billieeilish,Billie Eilish,,119,Musician,United States
@k.mbappe,Kylian Mbappé,,118,Footballer,France
@championsleague,UEFA Champions League,,115,Club football competition,Europe
@gal_gadot,Gal Gadot,,108,Actress,Israel
@lalalalisa_m,Lisa,,103,Musician,Thailand
@vindiesel,Vin Diesel,,102,Actor,United States
@nasa,NASA,,97.9,Space agency,United States
@priyankachopra,Priyanka Chopra,,91.2,Actress,India
@shakira,Shakira,,90.6,Musician,Colombia
@narendramodi,Narendra Modi,,90.4,Prime Minister of India,India
@shraddhakapoor,Shraddha Kapoor,,89.8,Actress,India
@nba,NBA,,88.2,Professional basketball league,United States Canada
@dualipa,Dua Lipa,,88.1,Musician,United Kingdom Albania
@davidbeckham,David Beckham,,87.9,Former footballer,United Kingdom
@snoopdogg,Snoop Dogg,,87.4,Musician,United States
@jennierubyjane,Jennie,,84.7,Musician,South Korea
@aliaabhatt,Alia Bhatt,,84.7,Actress,United Kingdom India
